;duration;station_A_id;station_A_name;station_B_id;station_B_name;bike_id;user_type;user_birth_year;user_gender;tire_sizes
0;12 minutes;81;Berry St at 4th St;323;Broadway at Kearny;5480;2;1959;Male;28
1;24 minutes;3;Powell St BART Station (Market St at 4th St);118;Eureka Valley Recreation Center;5193;2;1965;Male;29
2;8 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);23;The Embarcadero at Steuart St;3652;3;1993;Male;26
3;4 minutes;16;Steuart St at Market St;28;The Embarcadero at Bryant St;1883;1;1979;Male;25
4;11 minutes;22;Howard St at Beale St;350;8th St at Brannan St;4626;2;1994;Male;30
5;10 minutes;22;Howard St at Beale St;6;The Embarcadero at Sansome St;3279;2;1979;Male;25
6;16 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);107;17th St at Dolores St;1035;2;1981;Male;29
7;9 minutes;30;San Francisco Caltrain (Townsend St at 4th St);97;14th St at Mission St;5286;2;1991;Male;27
8;21 minutes;81;Berry St at 4th St;16;Steuart St at Market St;2124;1;1982;Female;29
9;5 minutes;30;San Francisco Caltrain (Townsend St at 4th St);62;Victoria Manalo Draves Park;333;1;1994;Male;27
10;19 minutes;81;Berry St at 4th St;16;Steuart St at Market St;1883;2;1983;Male;29
11;6 minutes;3;Powell St BART Station (Market St at 4th St);26;1st St at Folsom St;5331;1;1990;Male;28
12;7 minutes;3;Powell St BART Station (Market St at 4th St);27;Beale St at Harrison St;1863;3;1998;Male;29
13;187 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);355;23rd St at Tennessee St;674;2;1987;Female;26
14;13 minutes;21;Montgomery St BART Station (Market St at 2nd St);74;Laguna St at Hayes St;5487;2;1997;Male;30
15;4 minutes;3;Powell St BART Station (Market St at 4th St);321;5th St at Folsom;1606;2;1995;Male;27
16;32 minutes;22;Howard St at Beale St;122;19th St at Mission St;3661;3;1990;Male;29
17;5 minutes;22;Howard St at Beale St;11;Davis St at Jackson St;4969;3;1964;Male;26
18;16 minutes;16;Steuart St at Market St;42;San Francisco City Hall (Polk St at Grove St);5000;2;2000;Female;28
19;17 minutes;16;Steuart St at Market St;42;San Francisco City Hall (Polk St at Grove St);5230;2;2000;Male;30
20;16 minutes;16;Steuart St at Market St;58;Market St at 10th St;2033;3;1998;Male;26
21;11 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);364;China Basin St at 3rd St;5055;3;1986;Male;30
22;10 minutes;5;Powell St BART Station (Market St at 5th St);356;Valencia St at Clinton Park;2165;2;1982;Male;29
23;3 minutes;16;Steuart St at Market St;20;Mechanics Monument Plaza (Market St at Bush St);2403;2;1992;Male;28
24;11 minutes;3;Powell St BART Station (Market St at 4th St);109;17th St at Valencia St;4980;1;1980;Male;25
25;3 minutes;81;Berry St at 4th St;93;4th St at Mission Bay Blvd S;2409;3;1990;Female;27
26;12 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);370;Jones St at Post St;2852;3;1994;Male;27
27;7 minutes;3;Powell St BART Station (Market St at 4th St);61;Howard St at 8th St;2459;2;1977;Male;29
28;5 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);6;The Embarcadero at Sansome St;5193;3;1990;Male;29
29;6 minutes;81;Berry St at 4th St;116;Mississippi St at 17th St;903;1;1990;Male;30
30;6 minutes;21;Montgomery St BART Station (Market St at 2nd St);323;Broadway at Kearny;5218;1;1988;Female;27
31;9 minutes;5;Powell St BART Station (Market St at 5th St);15;San Francisco Ferry Building (Harry Bridges Plaza);2177;3;1990;Male;30
32;12 minutes;3;Powell St BART Station (Market St at 4th St);102;Irwin St at 8th St;5130;3;1980;Male;28
33;16 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);76;McCoppin St at Valencia St;3397;3;1979;Male;30
34;11 minutes;81;Berry St at 4th St;356;Valencia St at Clinton Park;5504;2;1994;Male;30
35;11 minutes;3;Powell St BART Station (Market St at 4th St);74;Laguna St at Hayes St;531;2;1988;Male;27
36;4 minutes;3;Powell St BART Station (Market St at 4th St);321;5th St at Folsom;3385;2;1990;Female;26
37;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);50;2nd St at Townsend St;2568;2;1989;Male;29
38;6 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);343;Bryant St at 2nd St;2804;1;1966;Male;28
39;7 minutes;30;San Francisco Caltrain (Townsend St at 4th St);130;22nd St Caltrain Station;5213;1;1986;Male;28
40;4 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);321;5th St at Folsom;1575;1;1988;Male;26
41;12 minutes;3;Powell St BART Station (Market St at 4th St);6;The Embarcadero at Sansome St;2899;1;1967;Female;28
42;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);50;2nd St at Townsend St;1894;2;1977;Male;25
43;3 minutes;30;San Francisco Caltrain (Townsend St at 4th St);50;2nd St at Townsend St;2960;1;1977;Female;30
44;2 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);80;Townsend St at 5th St;2193;2;1996;Female;28
45;1 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);64;5th St at Brannan St;2436;2;1990;Female;30
46;7 minutes;5;Powell St BART Station (Market St at 5th St);41;Golden Gate Ave at Polk St;3617;2;1989;Male;27
47;8 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;626;1;1994;Male;28
48;15 minutes;5;Powell St BART Station (Market St at 5th St);4;Cyril Magnin St at Ellis St;4719;1;1973;Male;25
49;9 minutes;21;Montgomery St BART Station (Market St at 2nd St);81;Berry St at 4th St;2125;3;1991;Male;29
50;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;5374;2;1999;Female;25
51;16 minutes;22;Howard St at Beale St;350;8th St at Brannan St;1310;2;1987;Male;29
52;13 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;2531;2;1999;Female;28
53;14 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;1502;2;1998;Female;28
54;12 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;1202;1;1999;Male;27
55;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;377;2;1999;Male;29
56;5 minutes;21;Montgomery St BART Station (Market St at 2nd St);27;Beale St at Harrison St;3711;3;1985;Male;30
57;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);61;Howard St at 8th St;2918;2;1999;Female;27
58;10 minutes;81;Berry St at 4th St;6;The Embarcadero at Sansome St;5233;1;1987;Male;25
59;10 minutes;21;Montgomery St BART Station (Market St at 2nd St);61;Howard St at 8th St;507;2;1998;Male;29
60;10 minutes;21;Montgomery St BART Station (Market St at 2nd St);61;Howard St at 8th St;608;1;1999;Male;29
61;8 minutes;21;Montgomery St BART Station (Market St at 2nd St);61;Howard St at 8th St;157;1;1999;Male;27
62;4 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);28;The Embarcadero at Bryant St;4602;2;1991;Female;27
63;5 minutes;21;Montgomery St BART Station (Market St at 2nd St);9;Broadway at Battery St;181;2;1967;Male;28
64;10 minutes;21;Montgomery St BART Station (Market St at 2nd St);58;Market St at 10th St;3715;2;1999;Male;28
65;10 minutes;16;Steuart St at Market St;93;4th St at Mission Bay Blvd S;5392;2;1986;Male;27
66;5 minutes;30;San Francisco Caltrain (Townsend St at 4th St);28;The Embarcadero at Bryant St;1012;1;1991;Female;29
67;19 minutes;5;Powell St BART Station (Market St at 5th St);70;Central Ave at Fell St;465;2;1989;Male;28
68;19 minutes;3;Powell St BART Station (Market St at 4th St);55;Webster St at Grove St;3009;2;1992;Female;29
69;20 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);377;Fell St at Stanyan St;5105;1;1992;Male;30
70;38 minutes;21;Montgomery St BART Station (Market St at 2nd St);58;Market St at 10th St;5271;2;1988;Male;26
71;9 minutes;16;Steuart St at Market St;93;4th St at Mission Bay Blvd S;5125;1;1988;Male;26
72;13 minutes;5;Powell St BART Station (Market St at 5th St);370;Jones St at Post St;5373;2;1987;Male;30
73;20 minutes;3;Powell St BART Station (Market St at 4th St);6;The Embarcadero at Sansome St;443;1;1985;Female;26
74;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);90;Townsend St at 7th St;1920;2;1990;Male;25
75;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);58;Market St at 10th St;316;2;1999;Female;25
76;18 minutes;22;Howard St at Beale St;72;Page St at Scott St;5162;2;1980;Female;25
77;9 minutes;21;Montgomery St BART Station (Market St at 2nd St);64;5th St at Brannan St;1299;2;1996;Male;28
78;15 minutes;16;Steuart St at Market St;90;Townsend St at 7th St;1547;2;1990;Female;29
79;14 minutes;16;Steuart St at Market St;90;Townsend St at 7th St;3309;3;1990;Male;28
80;22 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);365;Turk St at Fillmore St;3224;2;1986;Female;27
81;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);90;Townsend St at 7th St;4799;2;1981;Male;26
82;4 minutes;3;Powell St BART Station (Market St at 4th St);47;4th St at Harrison St;5458;3;1980;Male;26
83;12 minutes;21;Montgomery St BART Station (Market St at 2nd St);67;San Francisco Caltrain Station 2  (Townsend St at 4th St);2568;2;1990;Male;27
84;79 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);323;Broadway at Kearny;2684;1;1987;Male;25
85;78 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);323;Broadway at Kearny;2030;2;1987;Male;30
86;80 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);323;Broadway at Kearny;2086;2;1987;Male;25
87;5 minutes;5;Powell St BART Station (Market St at 5th St);62;Victoria Manalo Draves Park;1315;2;1985;Male;28
88;6 minutes;81;Berry St at 4th St;130;22nd St Caltrain Station;5224;2;1983;Female;30
89;11 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;192;2;2000;Female;25
90;7 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;1159;2;1986;Female;26
91;7 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;1602;3;1988;Male;30
92;22 minutes;21;Montgomery St BART Station (Market St at 2nd St);139;Garfield Square (25th St at Harrison St);4716;1;1975;Male;26
93;9 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;1465;1;1999;Female;28
