;duration;station_A_id;station_A_name;station_B_id;station_B_name;bike_id;user_type;user_birth_year;user_gender;tire_sizes;ride_date
0;12 minutes;81;Berry St at 4th St;323;Broadway at Kearny;5480;2;1959;Male;28;2/2/2023
1;24 minutes;3;Powell St BART Station (Market St at 4th St);118;Eureka Valley Recreation Center;5193;2;1965;Male;29;15/7/2022
2;8 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);23;The Embarcadero at Steuart St;3652;3;1993;Male;26;25/10/2022
3;4 minutes;16;Steuart St at Market St;28;The Embarcadero at Bryant St;1883;1;1979;Male;25;22/4/2022
4;11 minutes;22;Howard St at Beale St;350;8th St at Brannan St;4626;2;1994;Male;30;29/5/2023
5;10 minutes;22;Howard St at Beale St;6;The Embarcadero at Sansome St;3279;2;1979;Male;25;9/11/2022
6;16 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);107;17th St at Dolores St;1035;2;1981;Male;29;24/2/2023
7;9 minutes;30;San Francisco Caltrain (Townsend St at 4th St);97;14th St at Mission St;5286;2;1991;Male;27;29/10/2022
8;21 minutes;81;Berry St at 4th St;16;Steuart St at Market St;2124;1;1982;Female;29;8/7/2022
9;5 minutes;30;San Francisco Caltrain (Townsend St at 4th St);62;Victoria Manalo Draves Park;333;1;1994;Male;27;14/2/2023
10;19 minutes;81;Berry St at 4th St;16;Steuart St at Market St;1883;2;1983;Male;29;14/6/2022
11;6 minutes;3;Powell St BART Station (Market St at 4th St);26;1st St at Folsom St;5331;1;1990;Male;28;18/10/2022
12;7 minutes;3;Powell St BART Station (Market St at 4th St);27;Beale St at Harrison St;1863;3;1998;Male;29;19/1/2023
13;187 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);355;23rd St at Tennessee St;674;2;1987;Female;26;3/8/2021
14;13 minutes;21;Montgomery St BART Station (Market St at 2nd St);74;Laguna St at Hayes St;5487;2;1997;Male;30;9/7/2023
15;4 minutes;3;Powell St BART Station (Market St at 4th St);321;5th St at Folsom;1606;2;1995;Male;27;11/6/2023
16;32 minutes;22;Howard St at Beale St;122;19th St at Mission St;3661;3;1990;Male;29;5/1/2023
17;5 minutes;22;Howard St at Beale St;11;Davis St at Jackson St;4969;3;1964;Male;26;4/9/2021
18;16 minutes;16;Steuart St at Market St;42;San Francisco City Hall (Polk St at Grove St);5000;2;2000;Female;28;12/4/2023
19;17 minutes;16;Steuart St at Market St;42;San Francisco City Hall (Polk St at Grove St);5230;2;2000;Male;30;31/7/2023
20;16 minutes;16;Steuart St at Market St;58;Market St at 10th St;2033;3;1998;Male;26;26/1/2023
21;11 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);364;China Basin St at 3rd St;5055;3;1986;Male;30;9/10/2022
22;10 minutes;5;Powell St BART Station (Market St at 5th St);356;Valencia St at Clinton Park;2165;2;1982;Male;29;28/10/2021
23;3 minutes;16;Steuart St at Market St;20;Mechanics Monument Plaza (Market St at Bush St);2403;2;1992;Male;28;13/8/2022
24;11 minutes;3;Powell St BART Station (Market St at 4th St);109;17th St at Valencia St;4980;1;1980;Male;25;8/8/2021
25;3 minutes;81;Berry St at 4th St;93;4th St at Mission Bay Blvd S;2409;3;1990;Female;27;19/7/2022
26;12 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);370;Jones St at Post St;2852;3;1994;Male;27;18/10/2021
27;7 minutes;3;Powell St BART Station (Market St at 4th St);61;Howard St at 8th St;2459;2;1977;Male;29;29/9/2021
28;5 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);6;The Embarcadero at Sansome St;5193;3;1990;Male;29;9/7/2022
29;6 minutes;81;Berry St at 4th St;116;Mississippi St at 17th St;903;1;1990;Male;30;24/9/2022
30;6 minutes;21;Montgomery St BART Station (Market St at 2nd St);323;Broadway at Kearny;5218;1;1988;Female;27;30/5/2023
31;9 minutes;5;Powell St BART Station (Market St at 5th St);15;San Francisco Ferry Building (Harry Bridges Plaza);2177;3;1990;Male;30;21/3/2022
32;12 minutes;3;Powell St BART Station (Market St at 4th St);102;Irwin St at 8th St;5130;3;1980;Male;28;25/11/2022
33;16 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);76;McCoppin St at Valencia St;3397;3;1979;Male;30;24/3/2023
34;11 minutes;81;Berry St at 4th St;356;Valencia St at Clinton Park;5504;2;1994;Male;30;22/1/2022
35;11 minutes;3;Powell St BART Station (Market St at 4th St);74;Laguna St at Hayes St;531;2;1988;Male;27;25/10/2021
36;4 minutes;3;Powell St BART Station (Market St at 4th St);321;5th St at Folsom;3385;2;1990;Female;26;10/11/2021
37;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);50;2nd St at Townsend St;2568;2;1989;Male;29;26/3/2023
38;6 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);343;Bryant St at 2nd St;2804;1;1966;Male;28;16/5/2022
39;7 minutes;30;San Francisco Caltrain (Townsend St at 4th St);130;22nd St Caltrain Station;5213;1;1986;Male;28;29/4/2023
40;4 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);321;5th St at Folsom;1575;1;1988;Male;26;10/10/2022
41;12 minutes;3;Powell St BART Station (Market St at 4th St);6;The Embarcadero at Sansome St;2899;1;1967;Female;28;12/1/2022
42;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);50;2nd St at Townsend St;1894;2;1977;Male;25;1/1/2022
43;3 minutes;30;San Francisco Caltrain (Townsend St at 4th St);50;2nd St at Townsend St;2960;1;1977;Female;30;3/12/2021
