ride_id;duration;station_A_id;station_A_name;station_B_id;station_B_name;bike_id;user_type;user_birth_year;user_gender;tire_sizes;ride_date
1;6 minutes;81;Berry St at 4th St;37;2nd St at Folsom St;4963;2;1995;Female;29;23/3/2023
1;6 minutes;21;Montgomery St BART Station (Market St at 2nd St);50;2nd St at Townsend St;5468;2;1991;Male;30;7/2/2022
1;5 minutes;21;Montgomery St BART Station (Market St at 2nd St);5;Powell St BART Station (Market St at 5th St);4603;3;1998;Male;29;20/11/2022
1;6 minutes;30;San Francisco Caltrain (Townsend St at 4th St);26;1st St at Folsom St;4407;2;1948;Male;29;27/5/2022
1;10 minutes;22;Howard St at Beale St;5;Powell St BART Station (Market St at 5th St);4770;2;1980;Female;27;3/3/2022
1;6 minutes;21;Montgomery St BART Station (Market St at 2nd St);50;2nd St at Townsend St;5479;2;1984;Female;25;2/9/2021
1;7 minutes;5;Powell St BART Station (Market St at 5th St);42;San Francisco City Hall (Polk St at Grove St);5041;2;1981;Female;29;1/5/2023
1;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);89;Division St at Potrero Ave;1905;2;1984;Male;30;3/2/2022
1;16 minutes;16;Steuart St at Market St;355;23rd St at Tennessee St;5028;1;1996;Female;29;1/11/2022
1;11 minutes;30;San Francisco Caltrain (Townsend St at 4th St);22;Howard St at Beale St;5282;2;1994;Male;28;18/12/2021
1;10 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);81;Berry St at 4th St;5495;2;1994;Female;25;7/3/2023
1;7 minutes;22;Howard St at Beale St;30;San Francisco Caltrain (Townsend St at 4th St);5575;3;1973;Male;27;6/7/2022
1;6 minutes;22;Howard St at Beale St;30;San Francisco Caltrain (Townsend St at 4th St);5448;3;1979;Male;25;5/8/2021
1;43 minutes;21;Montgomery St BART Station (Market St at 2nd St);368;Myrtle St at Polk St;4369;2;1996;Male;28;16/6/2022
1;6 minutes;21;Montgomery St BART Station (Market St at 2nd St);50;2nd St at Townsend St;5125;2;1991;Male;26;30/1/2022
1;27 minutes;5;Powell St BART Station (Market St at 5th St);6;The Embarcadero at Sansome St;858;2;1988;Other;27;10/3/2022
1;48 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);371;Lombard St at Columbus Ave;3453;3;1981;Male;27;13/5/2022
1;6 minutes;81;Berry St at 4th St;23;The Embarcadero at Steuart St;5029;2;1974;Male;27;8/12/2022
1;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);90;Townsend St at 7th St;3395;3;1985;Male;29;16/2/2022
1;14 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);22;Howard St at Beale St;2630;2;1992;Male;26;6/10/2022
1;7 minutes;22;Howard St at Beale St;66;3rd St at Townsend St;5050;3;1988;Male;28;28/2/2023
1;3 minutes;5;Powell St BART Station (Market St at 5th St);284;Yerba Buena Center for the Arts (Howard St at 3rd St);2033;2;1986;Male;25;28/11/2022
1;9 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);30;San Francisco Caltrain (Townsend St at 4th St);5357;2;1991;Male;28;6/8/2022
1;9 minutes;22;Howard St at Beale St;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);5548;1;1988;Male;29;25/8/2022
1;26 minutes;81;Berry St at 4th St;377;Fell St at Stanyan St;5299;1;1979;Male;26;11/2/2022
1;2 minutes;16;Steuart St at Market St;24;Spear St at Folsom St;5441;3;1989;Male;30;12/6/2023
1;14 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);6;The Embarcadero at Sansome St;5348;3;1993;Male;25;5/8/2022
1;3 minutes;16;Steuart St at Market St;28;The Embarcadero at Bryant St;4959;1;1956;Male;26;26/2/2022
1;24 minutes;5;Powell St BART Station (Market St at 5th St);375;Grove St at Masonic Ave;4827;2;1988;Female;28;17/8/2021
